"period_start","wait_time","treat","commute","trips_pool","trips_express","rider_cancellations","total_driver_payout","total_matches","total_double_matches"
"2/19/2018 7:00","2 mins","","1","1415","3245","256","34458.411634112","3372","1476"
"2/19/2018 9:40","5 mins","1","","1461","2363","203","29764.349820603","2288","1275"
"2/19/2018 12:20","2 mins","","","1362","2184","118","27437.36736299","2283","962"
"2/19/2018 15:00","5 mins","1","1","1984","3584","355","44995.452992828","4035","2021"
"2/19/2018 17:40","2 mins","","","1371","2580","181","27583.955295478","2200","979"
"2/19/2018 20:20","5 mins","1","","1401","2022","135","23888.110847888","2066","1062"
"2/19/2018 23:00","2 mins","","","1216","2543","103","29642.905667941","2600","1406"
"2/20/2018 1:40","5 mins","1","","1691","2018","150","25794.869919853","1918","1281"
"2/20/2018 4:20","2 mins","","","1248","2481","131","23238.946287844","2623","1059"
"2/20/2018 7:00","5 mins","1","1","1815","2539","284","34047.473898243","2624","1565"
"2/20/2018 9:40","2 mins","","","1594","2773","166","28053.364801862","2723","855"
"2/20/2018 12:20","5 mins","1","","1629","2380","185","25964.418902864","2477","1322"
"2/20/2018 15:00","2 mins","","1","1640","3290","236","39912.401512055","3777","1969"
"2/20/2018 17:40","5 mins","1","","1173","1891","144","22029.734310839","1893","998"
"2/20/2018 20:20","2 mins","","","1853","2305","159","33299.092727665","2234","1145"
"2/20/2018 23:00","5 mins","1","","1145","2419","182","25062.182708331","2214","1104"
"2/21/2018 1:40","2 mins","","","1490","1949","125","25419.060914892","1904","1120"
"2/21/2018 4:20","5 mins","1","","1560","2309","180","25104.444883121","2125","990"
"2/21/2018 7:00","2 mins","","1","1916","3469","245","44871.105848575","3575","1809"
"2/21/2018 9:40","5 mins","1","","1664","2320","183","27626.135992249","2344","1309"
"2/21/2018 12:20","2 mins","","","1039","3188","168","29259.935472889","3045","1607"
"2/21/2018 15:00","5 mins","1","1","1741","3392","290","40452.018555603","4116","1690"
"2/21/2018 17:40","2 mins","","","1596","2256","151","30605.276488818","2280","1480"
"2/21/2018 20:20","5 mins","1","","1408","1638","155","23986.18199053","1746","754"
